,timestamp,value
0,2024-04-15 23:32:00,3898.0
1,2024-04-15 23:33:00,3917.5
2,2024-04-15 23:34:00,3993.0
3,2024-04-15 23:35:00,3991.5
4,2024-04-15 23:36:00,3915.5
5,2024-04-15 23:37:00,3897.0
6,2024-04-15 23:38:00,3743.0
7,2024-04-15 23:39:00,3646.5
8,2024-04-15 23:40:00,3700.0
9,2024-04-15 23:41:00,3670.0
10,2024-04-15 23:42:00,3500.0
11,2024-04-15 23:43:00,3472.0
12,2024-04-15 23:44:00,3487.0
13,2024-04-15 23:45:00,3395.0
14,2024-04-15 23:46:00,3354.0
15,2024-04-15 23:47:00,3292.0
16,2024-04-15 23:48:00,3265.5
17,2024-04-15 23:49:00,3215.0
18,2024-04-15 23:50:00,3189.0
19,2024-04-15 23:51:00,3334.0
20,2024-04-15 23:52:00,3438.5
21,2024-04-15 23:53:00,3412.5
22,2024-04-15 23:54:00,3355.0
23,2024-04-15 23:55:00,3333.5
24,2024-04-15 23:56:00,3430.5
25,2024-04-15 23:57:00,3540.5
26,2024-04-15 23:58:00,3600.0
27,2024-04-15 23:59:00,3619.5
28,2024-04-16 00:00:00,3660.5
29,2024-04-16 00:01:00,3743.0
30,2024-04-16 00:02:00,3684.5
31,2024-04-16 00:03:00,3836.0
32,2024-04-16 00:04:00,3845.5
33,2024-04-16 00:05:00,3620.0
34,2024-04-16 00:06:00,3626.0
35,2024-04-16 00:07:00,3688.0
36,2024-04-16 00:08:00,3712.5
37,2024-04-16 00:09:00,3679.5
38,2024-04-16 00:10:00,3564.5
39,2024-04-16 00:11:00,3404.0
40,2024-04-16 00:12:00,3322.0
41,2024-04-16 00:13:00,3356.0
42,2024-04-16 00:14:00,3360.5
43,2024-04-16 00:15:00,3328.0
44,2024-04-16 00:16:00,3369.5
45,2024-04-16 00:17:00,3254.0
46,2024-04-16 00:18:00,3118.5
47,2024-04-16 00:19:00,3109.5
48,2024-04-16 00:20:00,3146.0
49,2024-04-16 00:21:00,3159.5
50,2024-04-16 00:22:00,3095.5
51,2024-04-16 00:23:00,3002.0
